"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH"
"29/03/2017","00:00","12.1","221","14.5","10.7","09.9",".0","5.77"
"29/03/2017","00:05","10.9","221","13.3","10.7","09.9",".0","5.84"
"29/03/2017","00:10","12.6","221","14.8","10.7","09.9",".0","5.90"
"29/03/2017","00:15","12.4","220","13.9","10.6","09.9",".0","5.97"
"29/03/2017","00:20","12.7","222","14.8","10.6","09.9",".0","6.00"
"29/03/2017","00:25","13.5","219","15.9","10.7","09.9",".0","6.05"
"29/03/2017","00:30","14.3","216","16.6","10.7","09.9",".0","6.11"
"29/03/2017","00:35","14.6","215","17.0","10.7","09.9",".0","6.17"
"29/03/2017","00:40","14.8","215","16.9","10.7","09.9",".0","6.35"
"29/03/2017","00:45","15.8","218","18.4","10.7","09.9",".0","6.21"
"29/03/2017","00:50","16.5","219","19.0","10.8","09.9",".0","6.24"
"29/03/2017","00:55","15.9","224","18.6","10.8","09.9",".0","6.32"
"29/03/2017","01:00","15.5","225","18.2","11.0","09.9",".0","6.32"
"29/03/2017","01:05","13.7","223","16.4","10.9","09.9",".0","6.29"
"29/03/2017","01:10","13.7","220","16.7","10.9","09.9",".0","6.28"
"29/03/2017","01:15","14.2","222","17.2","10.9","09.9",".0","6.26"
"29/03/2017","01:20","13.6","225","16.8","10.8","09.8",".0","6.24"
"29/03/2017","01:25","14.4","223","17.4","10.7","09.8",".0","6.21"
"29/03/2017","01:30","14.1","222","17.2","10.6","09.8",".0","6.18"
"29/03/2017","01:35","13.4","219","18.0","10.5","09.8",".0","6.14"
"29/03/2017","01:40","14.3","219","19.2","10.5","09.8",".0","6.10"
"29/03/2017","01:45","14.9","220","18.1","10.4","09.8",".0","6.06"
"29/03/2017","01:50","14.6","221","16.9","10.3","09.8",".0","6.03"
"29/03/2017","01:55","14.7","220","18.5","10.3","09.8",".0","5.98"
"29/03/2017","02:00","14.6","220","19.5","10.2","09.8",".0","5.94"
"29/03/2017","02:05","14.0","221","16.3","10.2","09.8",".0","5.90"
"29/03/2017","02:10","13.5","220","15.8","10.2","09.8",".0","5.87"
"29/03/2017","02:15","12.8","219","15.2","10.2","09.8",".0","5.83"
"29/03/2017","02:20","13.9","221","18.7","10.2","09.8",".0","5.81"
"29/03/2017","02:25","14.4","221","18.2","10.3","09.8",".0","5.86"
"29/03/2017","02:30","13.9","221","16.9","10.3","09.8",".0","5.78"
"29/03/2017","02:35","13.0","221","16.9","10.3","09.8",".0","5.75"
"29/03/2017","02:40","13.9","221","16.4","10.2","09.8",".0","5.74"
"29/03/2017","02:45","15.4","218","19.9","10.2","09.8",".0","5.72"
"29/03/2017","02:50","15.3","219","18.2","10.2","09.8",".0","5.70"
"29/03/2017","02:55","15.6","222","19.2","10.1","09.8",".0","5.67"
"29/03/2017","03:00","14.3","224","17.8","10.1","09.8",".0","5.63"
"29/03/2017","03:05","14.9","224","17.5","10.2","09.8",".0","5.58"
"29/03/2017","03:10","15.7","223","18.7","10.2","09.8",".0","5.52"
"29/03/2017","03:15","16.0","224","19.5","10.3","09.8",".0","5.47"
"29/03/2017","03:20","16.9","225","21.0","10.4","09.8",".0","5.40"
"29/03/2017","03:25","16.8","225","20.1","10.4","09.8",".0","5.32"
"29/03/2017","03:30","16.7","224","21.0","10.4","09.8",".0","5.23"
"29/03/2017","03:35","16.7","224","20.8","10.4","09.8",".0","5.14"
"29/03/2017","03:40","16.9","223","20.7","10.4","09.8",".0","5.04"
"29/03/2017","03:45","16.7","224","19.8","10.4","09.8",".0","4.95"
"29/03/2017","03:50","16.8","224","19.7","10.5","09.8",".0","4.84"
"29/03/2017","03:55","15.0","224","18.4","10.5","09.8",".0","4.74"
"29/03/2017","04:00","15.7","222","18.7","10.5","09.8",".0","4.65"
"29/03/2017","04:05","15.7","222","19.3","10.5","09.8",".0","4.53"
"29/03/2017","04:10","16.4","221","19.9","10.6","09.8",".0","4.41"
"29/03/2017","04:15","16.1","221","19.1","10.6","09.8",".0","4.29"
"29/03/2017","04:20","15.1","220","19.6","10.6","09.8",".0","4.16"
"29/03/2017","04:25","14.9","219","17.8","10.5","09.8",".0","4.05"
"29/03/2017","04:30","14.6","219","18.7","10.6","09.8",".0","3.93"
"29/03/2017","04:35","14.2","218","18.9","10.6","09.8",".0","3.82"
"29/03/2017","04:40","14.6","221","18.1","10.5","09.8",".0","3.72"
"29/03/2017","04:45","15.3","225","18.9","10.6","09.8",".0","3.60"
"29/03/2017","04:50","16.1","223","20.0","10.6","09.8",".0","3.49"
"29/03/2017","04:55","14.3","224","16.9","10.6","09.8",".0","3.38"
"29/03/2017","05:00","14.6","225","18.0","10.7","09.8",".0","3.28"
"29/03/2017","05:05","14.1","225","18.9","10.7","09.8",".0","3.17"
"29/03/2017","05:10","14.6","224","18.2","10.7","09.8",".0","3.06"
"29/03/2017","05:15","14.4","225","17.3","10.7","09.8",".0","2.95"
"29/03/2017","05:20","13.9","225","18.1","10.8","09.8",".0","2.85"
"29/03/2017","05:25","15.3","227","18.1","10.9","09.8",".0","2.74"
"29/03/2017","05:30","15.6","232","19.3","11.0","09.8",".0","2.63"
"29/03/2017","05:35","16.0","236","19.6","11.2","09.8",".0","2.54"
"29/03/2017","05:40","15.1","237","19.2","11.1","09.8",".0","2.73"
"29/03/2017","05:45","17.1","236","19.4","11.2","09.8",".0","2.38"
"29/03/2017","05:50","16.3","230","18.9","11.1","09.8",".0","2.30"
"29/03/2017","05:55","13.6","222","16.3","10.7","09.8",".0","2.22"
"29/03/2017","06:00","13.8","223","16.6","10.4","09.8",".0","2.13"
"29/03/2017","06:05","14.0","220","16.4","10.3","09.8",".0","2.06"
"29/03/2017","06:10","13.8","220","16.3","10.3","09.9",".0","1.99"
"29/03/2017","06:15","14.1","219","16.4","10.3","09.8",".0","1.97"
"29/03/2017","06:20","13.9","219","16.4","10.3","09.8",".0","1.90"
"29/03/2017","06:25","14.1","219","17.0","10.3","09.9",".0","1.86"
"29/03/2017","06:30","13.9","219","17.8","10.3","09.9",".0","1.84"
"29/03/2017","06:35","14.3","220","16.7","10.3","09.9",".0","1.82"
"29/03/2017","06:40","13.2","222","16.1","10.3","09.9",".0","1.82"
"29/03/2017","06:45","14.0","227","17.6","10.5","09.9",".0","1.84"
"29/03/2017","06:50","15.0","239","18.9","10.7","09.9",".0","1.87"
"29/03/2017","06:55","16.1","244","18.6","10.8","09.9",".0","1.90"
"29/03/2017","07:00","16.5","244","19.4","10.8","09.9",".0","1.96"
