"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH"
"07/04/2017","00:00","02.8","322","03.8","09.1","11.1",".0",
"07/04/2017","00:05","02.8","332","03.5","09.0","11.1",".0",
"07/04/2017","00:10","02.2","343","03.4","08.9","11.1",".0",
"07/04/2017","00:15","01.8","342","02.7","08.9","11.1",".0",
"07/04/2017","00:20","02.0","334","02.8","08.9","11.1",".0",
"07/04/2017","00:25","02.0","331","03.3","08.9","11.1",".0",
"07/04/2017","00:30","01.7","334","03.2","08.8","11.1",".0",
"07/04/2017","00:35","01.3","334","02.4","08.8","11.1",".0",
"07/04/2017","00:40","01.7","335","02.9","08.8","11.1",".0",
"07/04/2017","00:45","01.7","328","02.7","08.8","11.1",".0",
"07/04/2017","00:50","01.7","323","02.2","08.9","11.1",".0",
"07/04/2017","00:55","01.8","325","02.9","08.9","11.1",".0",
"07/04/2017","01:00","02.3","337","03.1","08.8","11.2",".0",
"07/04/2017","01:05","01.8","328","02.7","08.9","11.2",".0",
"07/04/2017","01:10","01.7","326","02.7","08.9","11.2",".0",
"07/04/2017","01:15","01.0","314","02.5","08.9","11.2",".0",
"07/04/2017","01:20","01.5","312","02.2","08.9","11.2",".0",
"07/04/2017","01:25","01.7","295","02.2","08.9","11.2",".0",
"07/04/2017","01:30","02.1","301","02.5","08.9","11.2",".0",
"07/04/2017","01:35","02.0","287","02.5","09.0","11.2",".0",
"07/04/2017","01:40","02.2","285","02.8","09.1","11.2",".0",
"07/04/2017","01:45","01.9","278","02.5","09.2","11.2",".0",
"07/04/2017","01:50","02.3","282","02.6","09.2","11.2",".0",
"07/04/2017","01:55","02.3","273","03.1","09.3","11.2",".0",
"07/04/2017","02:00","02.3","287","02.9","09.4","11.2",".0",
"07/04/2017","02:05","02.9","294","03.3","09.3","11.2",".0",
"07/04/2017","02:10","03.0","295","03.4","09.2","11.2",".0",
"07/04/2017","02:15","02.8","300","03.1","09.1","11.2",".0",
"07/04/2017","02:20","02.6","301","02.9","09.0","11.2",".0",
"07/04/2017","02:25","02.5","304","03.2","08.9","11.2",".0",
"07/04/2017","02:30","02.7","312","03.1","08.9","11.2",".0",
"07/04/2017","02:35","03.1","329","03.7","08.6","11.2",".0",
"07/04/2017","02:40","03.4","351","04.4","08.4","11.2",".0",
"07/04/2017","02:45","02.8","358","03.9","08.1","11.2",".0",
"07/04/2017","02:50","01.6","359","02.2","08.0","11.2",".0",
"07/04/2017","02:55","00.6","344","01.3","08.0","11.2",".0",
"07/04/2017","03:00","01.3","336","02.0","08.0","11.2",".0",
"07/04/2017","03:05","02.0","334","02.6","07.9","11.2",".0",
"07/04/2017","03:10","03.0","004","03.9","07.4","11.2",".0",
"07/04/2017","03:15","03.4","005","04.0","07.1","11.3",".0",
"07/04/2017","03:20","02.9","344","03.3","07.2","11.3",".0",
"07/04/2017","03:25","03.0","351","03.6","07.3","11.3",".0",
"07/04/2017","03:30","02.5","346","03.3","07.3","11.3",".0",
"07/04/2017","03:35","01.9","348","02.6","07.3","11.3",".0",
"07/04/2017","03:40","02.0","352","02.8","07.2","11.3",".0",
"07/04/2017","03:45","02.2","332","03.3","07.1","11.3",".0",
"07/04/2017","03:50","02.3","343","03.7","07.1","11.3",".0",
"07/04/2017","03:55","02.3","345","03.5","07.1","11.3",".0",
"07/04/2017","04:00","02.0","000","03.2","07.2","11.3",".0",
"07/04/2017","04:05","02.1","003","02.9","07.1","11.3",".0",
"07/04/2017","04:10","01.5","029","02.3","07.2","11.3",".0",
"07/04/2017","04:15","02.0","027","02.7","07.2","11.3",".0",
"07/04/2017","04:20","01.8","013","02.6","07.1","11.3",".0",
"07/04/2017","04:25","01.6","011","02.4","07.0","11.3",".0",
"07/04/2017","04:30","01.8","022","02.5","07.0","11.3",".0",
"07/04/2017","04:35","01.4","024","02.0","07.0","11.3",".0",
"07/04/2017","04:40","01.8","021","02.6","06.9","11.3",".0",
"07/04/2017","04:45","02.2","020","02.8","06.9","11.3",".0",
"07/04/2017","04:50","02.6","025","04.0","06.9","11.3",".0",
"07/04/2017","04:55","04.2","031","06.0","07.3","11.3",".0",
"07/04/2017","05:00","05.1","040","07.1","07.9","11.3",".0",
"07/04/2017","05:05","06.5","037","08.2","08.3","11.3",".0",
"07/04/2017","05:10","08.1","050","09.9","08.7","11.3",".0",
"07/04/2017","05:15","08.1","055","09.1","08.7","11.3",".0",
"07/04/2017","05:20","07.0","059","08.9","08.2","11.3",".0",
"07/04/2017","05:25","06.5","062","07.8","08.1","11.4",".0",
"07/04/2017","05:30","06.5","062","07.9","08.1","11.4",".0",
"07/04/2017","05:35","05.3","067","07.3","08.1","11.4",".0",
"07/04/2017","05:40","05.3","071","06.2","07.7","11.4",".0",
"07/04/2017","05:45","04.4","075","05.8","07.7","11.4",".0",
"07/04/2017","05:50","04.1","075","05.3","07.5","11.4",".0",
"07/04/2017","05:55","04.2","073","05.2","07.4","11.4",".0",
"07/04/2017","06:00","04.4","060","05.9","07.6","11.4",".0",
"07/04/2017","06:05","05.0","054","06.1","07.9","11.4",".0",
"07/04/2017","06:10","05.2","056","06.4","08.0","11.4",".0",
"07/04/2017","06:15","04.0","064","04.9","07.9","11.4",".0",
"07/04/2017","06:20","03.3","067","04.1","07.7","11.4",".0",
"07/04/2017","06:25","03.3","064","04.1","07.6","11.4",".0",
"07/04/2017","06:30","03.2","067","04.0","07.6","11.4",".0",
"07/04/2017","06:35","03.0","066","04.1","07.5","11.4",".0",
"07/04/2017","06:40","01.8","071","02.7","07.5","11.4",".0",
"07/04/2017","06:45","01.8","061","02.6","07.6","11.4",".0",
"07/04/2017","06:50","01.4","079","02.5","07.7","11.4",".0",
"07/04/2017","06:55","01.5","082","02.3","07.7","11.4",".0",
"07/04/2017","07:00","00.5","098","01.6","07.7","11.4",".0",
"07/04/2017","07:05","00.3","078","01.7","07.8","11.4",".0",
"07/04/2017","07:10","00.3","051","01.1","07.9","11.4",".0",
"07/04/2017","07:15","01.1","027","02.2","08.0","11.3",".0",
"07/04/2017","07:20","01.4","001","01.9","08.3","11.4",".0",
"07/04/2017","07:25","01.7","008","02.5","08.3","11.4",".0",
"07/04/2017","07:30","01.6","012","02.5","08.3","11.3",".0",
"07/04/2017","07:35","01.7","011","02.6","08.4","11.3",".0",
"07/04/2017","07:40","01.7","013","02.6","08.5","11.3",".0",
"07/04/2017","07:45","01.4","013","02.0","08.7","11.3",".0",
"07/04/2017","07:50","01.3","020","01.8","08.7","11.3",".0",
"07/04/2017","07:55","01.7","016","02.5","08.8","11.3",".0",
"07/04/2017","08:00","02.1","019","02.7","08.8","11.3",".0",
"07/04/2017","08:05","02.1","025","02.8","08.5","11.3",".0",
"07/04/2017","08:10","02.3","020","03.3","08.7","11.3",".0",
"07/04/2017","08:15","02.6","010","03.5","08.9","11.3",".0",
"07/04/2017","08:20","02.9","005","03.9","09.0","11.3",".0",
"07/04/2017","08:25","02.9","001","03.5","09.3","11.3",".0",
"07/04/2017","08:30","02.8","004","03.9","09.3","11.3",".0",
"07/04/2017","08:35","02.3","001","03.1","09.5","11.3",".0",
"07/04/2017","08:40","02.6","000","03.3","09.6","11.2",".0",
"07/04/2017","08:45","02.9","010","03.9","09.8","11.2",".0",
"07/04/2017","08:50","02.7","008","03.8","09.9","11.2",".0",
"07/04/2017","08:55","02.2","013","03.1","10.0","11.2",".0",
"07/04/2017","09:00","02.4","025","03.5","09.5","11.2",".0",
"07/04/2017","09:05","02.1","038","03.3","09.1","11.2",".0",
"07/04/2017","09:10","01.7","043","02.3","09.1","11.2",".0",
"07/04/2017","09:15","01.5","049","02.1","09.1","11.2",".0",
"07/04/2017","09:20","00.6","057","02.4","09.4","11.2",".0",
"07/04/2017","09:25","02.1","054","02.7","09.4","11.1",".0",
"07/04/2017","09:30","02.5","047","03.1","09.5","11.1",".0",
"07/04/2017","09:35","02.5","040","03.1","09.6","11.1",".0",
"07/04/2017","09:40","02.4","041","03.3","09.8","11.1",".0",
"07/04/2017","09:45","02.4","047","03.4","09.9","11.1",".0",
"07/04/2017","09:50","02.5","045","03.5","10.0","11.1",".0",
"07/04/2017","09:55","02.2","048","02.8","10.2","11.1",".0",
"07/04/2017","10:00","02.8","041","03.7","10.3","11.1",".0",
