"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","04:45","12.3","212","13.7","10.1","N/A","1023.1","4.07","0.72","0.84","0.77","19.70"
"04/04/2017","04:50","12.3","210","13.7","10.1","N/A","1022.9","4.06","0.88","0.98","0.77","19.70"
"04/04/2017","04:55","12.9","210","15.0","10.1","N/A","1023.1","4.06","0.88","0.93","0.77","19.70"
"04/04/2017","05:00","12.6","210","14.5","10.1","N/A","1022.9","4.15","0.69","0.77","0.88","17.07"
"04/04/2017","05:05","11.9","210","13.8","10.1","N/A","1023.0","4.14","0.91","1.03","0.88","17.07"
"04/04/2017","05:10","12.4","211","13.9","10.1","N/A","1023.0","4.15","0.75","0.84","0.88","17.07"
"04/04/2017","05:15","10.9","212","12.2","10.1","N/A","1023.2","4.13","0.77","0.91","0.87","17.07"
"04/04/2017","05:20","11.1","209","12.6","10.1","N/A","1023.2","4.15","0.89","0.96","0.87","17.07"
"04/04/2017","05:25","10.8","210","12.7","10.1","N/A","1023.2","4.17","1.00","1.07","0.87","17.07"
"04/04/2017","05:30","10.2","213","11.6","10.1","N/A","1022.9","4.18","0.77","0.81","0.96","17.07"
"04/04/2017","05:35","09.6","212","11.3","10.2","N/A","1023.0","4.13","0.75","0.88","0.96","17.07"
"04/04/2017","05:40","09.7","212","11.2","10.2","N/A","1023.0","4.18","0.92","1.01","0.96","17.07"
"04/04/2017","05:45","09.1","214","10.7","10.2","N/A","1023.0","4.14","0.84","0.99","0.91","17.07"
"04/04/2017","05:50","08.5","216","09.6","10.2","N/A","1023.0","4.12","0.67","0.74","0.91","17.07"
"04/04/2017","05:55","07.9","218","08.9","10.2","N/A","1023.0","4.17","0.83","1.02","0.91","17.07"
"04/04/2017","06:00","07.9","218","09.1","10.2","N/A","1023.4","4.12","0.82","0.92","0.85","17.07"
"04/04/2017","06:05","07.6","216","08.5","10.2","N/A","1023.0","4.12","0.82","0.89","0.85","17.07"
"04/04/2017","06:10","07.3","215","08.3","10.2","N/A","1023.3","4.09","0.76","0.88","0.85","17.07"
"04/04/2017","06:15","07.8","212","09.2","10.2","N/A","1023.0","4.05","0.91","1.06","0.92","19.70"
"04/04/2017","06:20","08.7","209","09.9","10.2","N/A","1023.0","4.09","0.93","0.97","0.92","19.70"
"04/04/2017","06:25","09.2","208","11.2","10.1","N/A","1023.0","4.08","0.72","0.79","0.92","19.70"
"04/04/2017","06:30","08.9","207","10.5","10.2","N/A","1023.2","4.06","0.89","1.06","0.93","19.70"
"04/04/2017","06:35","09.9","209","11.7","10.1","N/A","1023.0","4.05","0.84","1.00","0.93","19.70"
"04/04/2017","06:40","10.6","206","12.2","10.1","N/A","1023.0","4.03","0.83","0.97","0.93","19.70"
"04/04/2017","06:45","10.0","210","11.3","10.1","N/A","1023.0","3.97","0.84","0.90","0.94","19.70"
"04/04/2017","06:50","09.4","216","11.5","10.1","N/A","1022.7","3.94","0.95","1.02","0.94","19.70"
"04/04/2017","06:55","09.1","211","11.0","10.1","N/A","1023.0","3.89","0.88","0.99","0.94","19.70"
"04/04/2017","07:00","09.1","211","10.5","10.1","N/A","1023.0","3.90","0.88","0.94","0.95","19.70"
"04/04/2017","07:05","08.0","212","09.3","10.1","N/A","1023.0","3.89","0.74","0.88","0.95","19.70"
"04/04/2017","07:10","07.4","213","08.3","10.1","N/A","1023.1","3.83","0.79","0.83","0.95","19.70"
"04/04/2017","07:15","07.1","217","09.0","10.2","N/A","1023.1","3.79","0.67","0.77","0.84","17.07"
"04/04/2017","07:20","06.9","221","07.7","10.2","N/A","1023.0","3.77","0.75","0.81","0.84","17.07"
"04/04/2017","07:25","07.0","220","08.4","10.2","N/A","1023.1","3.72","1.01","1.13","0.84","17.07"
"04/04/2017","07:30","06.2","223","07.8","10.2","N/A","1023.3","3.69","0.93","0.98","0.99","19.70"
"04/04/2017","07:35","06.3","218","07.0","10.2","N/A","1023.3","3.65","0.88","0.95","0.99","19.70"
