"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"29/03/2017","00:00","11.8","214","14.2","10.9","N/A","1021.8","4.72","0.21","0.23","0.31","12.19"
"29/03/2017","00:05","13.3","212","15.7","10.9","N/A","1021.8","4.77","0.28","0.31","0.31","12.19"
"29/03/2017","00:10","13.9","208","16.3","10.9","N/A","1021.8","4.81","0.26","0.29","0.31","12.19"
"29/03/2017","00:15","13.3","203","14.7","10.9","N/A","1021.8","4.85","0.22","0.23","0.29","11.13"
"29/03/2017","00:20","13.6","204","16.4","10.9","N/A","1021.8","4.89","0.33","0.38","0.29","11.13"
"29/03/2017","00:25","14.6","207","17.1","11.0","N/A","1021.7","4.92","0.27","0.33","0.29","11.13"
"29/03/2017","00:30","13.6","204","15.7","10.9","N/A","1021.7","4.95","0.25","0.28","0.32","11.13"
"29/03/2017","00:35","12.1","207","14.2","10.8","N/A","1021.7","4.98","0.28","0.31","0.32","11.13"
"29/03/2017","00:40","13.3","209","16.6","10.8","N/A","1021.7","5.00","0.28","0.32","0.32","11.13"
"29/03/2017","00:45","15.0","215","17.8","10.9","N/A","1021.7","5.00","0.27","0.32","0.28","13.48"
"29/03/2017","00:50","16.3","219","19.4","11.2","N/A","1021.7","5.00","0.30","0.32","0.28","13.48"
"29/03/2017","00:55","14.8","215","16.4","11.2","N/A","1021.5","4.99","0.30","0.35","0.28","13.48"
"29/03/2017","01:00","14.1","212","16.6","11.2","N/A","1021.5","4.97","0.28","0.34","0.28","12.19"
"29/03/2017","01:05","14.8","215","17.7","11.2","N/A","1021.7","4.96","0.32","0.34","0.28","12.19"
"29/03/2017","01:10","15.5","220","20.1","11.2","N/A","1021.5","4.94","0.35","0.40","0.28","12.19"
"29/03/2017","01:15","17.1","222","20.2","11.1","N/A","1021.5","4.91","0.33","0.37","0.35","15.06"
"29/03/2017","01:20","15.9","218","18.9","10.9","N/A","1021.5","4.88","0.37","0.41","0.35","15.06"
"29/03/2017","01:25","15.2","218","17.7","10.7","N/A","1021.5","4.86","0.27","0.31","0.35","15.06"
"29/03/2017","01:30","15.1","218","18.1","10.7","N/A","1021.7","4.82","0.33","0.35","0.31","13.48"
"29/03/2017","01:35","15.3","216","18.7","10.7","N/A","1021.5","4.81","0.27","0.31","0.31","13.48"
"29/03/2017","01:40","15.0","217","17.3","10.6","N/A","1021.5","4.79","0.33","0.37","0.31","13.48"
"29/03/2017","01:45","16.2","215","19.2","10.5","N/A","1021.5","4.76","0.28","0.29","0.29","13.48"
"29/03/2017","01:50","16.8","216","19.6","10.5","N/A","1021.5","4.74","0.31","0.36","0.29","13.48"
"29/03/2017","01:55","17.1","217","19.9","10.5","N/A","1021.5","4.72","0.25","0.30","0.29","13.48"
"29/03/2017","02:00","16.4","217","18.9","10.4","N/A","1021.4","4.72","0.35","0.39","0.30","15.06"
"29/03/2017","02:05","15.8","217","18.6","10.4","N/A","1021.5","4.69","0.33","0.38","0.30","15.06"
"29/03/2017","02:10","16.8","219","19.6","10.5","N/A","1021.7","4.67","0.34","0.37","0.30","15.06"
"29/03/2017","02:15","17.9","219","20.8","10.5","N/A","1021.4","4.65","0.29","0.34","0.31","10.24"
"29/03/2017","02:20","17.7","219","19.7","10.5","N/A","1021.4","4.63","0.30","0.32","0.31","10.24"
"29/03/2017","02:25","17.7","219","20.1","10.5","N/A","1021.2","4.59","0.32","0.39","0.31","10.24"
"29/03/2017","02:30","17.3","218","19.4","10.5","N/A","1021.4","4.56","0.36","0.40","0.31","13.48"
"29/03/2017","02:35","17.3","215","19.7","10.5","N/A","1021.4","4.52","0.38","0.40","0.31","13.48"
"29/03/2017","02:40","19.4","215","23.1","10.5","N/A","1021.5","4.48","0.34","0.37","0.31","13.48"
"29/03/2017","02:45","19.1","216","22.1","10.4","N/A","1021.2","4.41","0.34","0.37","0.35","15.06"
"29/03/2017","02:50","19.0","217","21.1","10.4","N/A","1021.4","4.35","0.34","0.36","0.35","15.06"
"29/03/2017","02:55","19.5","218","23.0","10.4","N/A","1021.4","4.27","0.33","0.35","0.35","15.06"
"29/03/2017","03:00","19.7","218","22.2","10.4","N/A","1021.2","4.19","0.27","0.29","0.38","17.07"
"29/03/2017","03:05","19.2","217","22.4","10.4","N/A","1021.2","4.09","0.36","0.42","0.38","17.07"
"29/03/2017","03:10","19.3","216","23.2","10.5","N/A","1021.2","3.99","0.38","0.42","0.38","17.07"
