"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"06/04/2017","11:05","01.7","210","01.9","11.2","-8.8","1031.8","3.19","11"
"06/04/2017","11:25","03.4","206","03.6","10.7","10.3","1031.7","2.92","10"
"06/04/2017","13:15","02.8","128","03.7","11.0","10.9","1030.7","1.63","9"
"06/04/2017","13:20","03.3","135","03.9","11.2","10.9","1030.7","1.62","10"
"06/04/2017","13:25","03.1","138","03.9","11.7","10.9","1030.7","1.58","9"
"06/04/2017","13:35","02.4","145","03.7","11.7","10.9","1030.7","1.57","9"
"06/04/2017","13:40","01.6","155","02.9","12.2","11.0","1030.6","1.55","11"
"06/04/2017","13:50","03.0","037","25.3","10.2","11.0","858.8","1.55","10"
"06/04/2017","13:55","03.2","137","03.4","11.5","11.0","1030.5","1.56","10"
"06/04/2017","14:05","03.2","132","03.9","12.0","10.8","1030.5","1.58","10"
"06/04/2017","14:10","02.1","148","03.6","11.9","10.6","1030.4","1.60","10"
"06/04/2017","14:20","01.7","145","03.1","12.4","10.6","1030.3","1.62","9"
"06/04/2017","14:25","00.3","198","01.0","12.4","10.5","1030.3","1.66","10"
"06/04/2017","14:35","00.9","175","01.8","13.2","10.5","1030.3","1.68","11"
"06/04/2017","14:40","00.6","222","01.2","13.3","10.4","1030.0","1.72","9"
"06/04/2017","14:50","00.9","220","01.8","13.0","10.4","1030.0","1.74","10"
"06/04/2017","14:55","01.9","187","03.5","12.7","10.4","1029.9","1.78","9"
"06/04/2017","15:05","03.7","203","04.2","11.9","10.5","1029.8","1.80","9"
"06/04/2017","15:10","03.8","210","04.2","11.7","10.6","1029.7","1.84","10"
"06/04/2017","15:20","05.2","231","05.4","11.7","10.5","1029.6","1.87","9"
"06/04/2017","15:25","05.6","254","05.9","11.7","10.6","1029.6","1.91","9"
"06/04/2017","15:35","06.4","249","06.9","11.5","10.6","1029.6","1.93","10"
"06/04/2017","15:40","07.3","255","07.7","11.5","10.6","1029.4","1.96","10"
"06/04/2017","15:50","06.1","266","07.0","11.4","10.6","1029.4","1.99","8"
"06/04/2017","15:55","05.8","250","06.3","11.3","10.6","1029.4","2.02","8"
"06/04/2017","16:05","06.7","261","07.4","11.2","10.7","1029.4","2.05","8"
"06/04/2017","16:10","05.8","269","06.5","11.4","10.8","1029.3","2.08","9"
"06/04/2017","16:20","08.5","262","09.7","11.1","10.7","1029.2","2.09","8"
"06/04/2017","16:25","10.2","262","11.4","11.3","10.6","1029.2","2.12","8"
"06/04/2017","16:35","11.4","258","12.8","11.3","10.5","1029.2","2.14","8"
"06/04/2017","16:40","12.4","265","12.7","11.1","10.5","1029.1","2.17","8"
"06/04/2017","16:50","12.2","270","13.3","11.3","10.5","1029.0","2.18","8"
"06/04/2017","16:55","14.3","269","14.7","11.2","10.5","1029.0","2.22","8"
"06/04/2017","17:05","13.9","265","14.8","11.2","10.6","1029.0","2.24","8"
"06/04/2017","17:10","14.1","264","15.1","11.0","10.5","1028.9","2.28","8"
"06/04/2017","17:20","14.8","266","15.5","10.9","10.5","1028.8","2.30","8"
"06/04/2017","17:25","14.7","263","15.5","10.8","10.6","1028.9","2.36","8"
"06/04/2017","17:35","14.0","263","15.1","10.7","10.5","1028.9","2.39","8"
"06/04/2017","17:40","14.7","262","15.5","10.6","10.5","1028.9","2.45","8"
"06/04/2017","17:50","13.2","268","14.8","10.6","10.5","1028.9","2.48","8"
"06/04/2017","17:55","14.4","269","15.2","10.6","10.5","1028.8","2.55","8"
"06/04/2017","18:05","14.3","265","14.9","10.7","10.5","1028.9","2.60","8"
"06/04/2017","18:10","13.9","267","14.9","10.7","10.4","1028.9","2.64","8"
"06/04/2017","18:20","12.9","265","14.3","10.6","10.5","1028.8","2.74","8"
"06/04/2017","18:25","12.7","269","13.3","10.6","10.4","1028.8","2.82","8"
"06/04/2017","18:35","11.6","266","13.2","10.5","10.5","1028.8","2.89","9"
"06/04/2017","18:40","13.0","264","13.8","10.5","10.5","1028.8","2.99","9"
"06/04/2017","18:50","11.7","265","13.3","10.4","10.4","1028.8","3.05","8"
"06/04/2017","18:55","12.9","266","14.0","10.3","10.5","1028.7","3.15","9"
"06/04/2017","19:05","13.1","268","14.1","10.2","10.5","1028.6","3.21","8"
"06/04/2017","19:10","14.1","266","15.1","10.1","10.5","1028.6","3.32","8"
"06/04/2017","19:20","12.3","264","14.0","10.0","10.5","1028.7","3.37","8"
"06/04/2017","19:25","13.2","261","14.1","10.0","10.4","1028.7","3.45","8"
"06/04/2017","19:35","13.8","261","14.5","10.0","10.4","1028.7","3.53","7"
"06/04/2017","19:40","13.8","260","15.2","09.9","10.4","1028.7","3.59","8"
"06/04/2017","19:50","12.9","258","13.5","09.9","10.4","1028.7","3.66","8"
"06/04/2017","19:55","11.3","257","11.7","09.9","10.4","1028.8","3.71","8"
"06/04/2017","20:05","10.9","255","11.9","09.9","10.4","1028.7","3.76","8"
"06/04/2017","20:10","11.3","254","12.1","09.9","10.4","1028.8","3.81","8"
"06/04/2017","20:20","11.4","252","12.3","09.9","10.4","1028.8","3.83","9"
"06/04/2017","20:25","10.2","256","11.0","09.9","10.4","1028.9","3.86","9"
"06/04/2017","20:35","09.5","270","10.8","09.9","10.4","1028.9","3.88","9"
"06/04/2017","20:40","08.3","267","08.7","09.9","10.4","1029.0","3.90","10"
"06/04/2017","20:50","05.3","281","05.7","09.9","10.4","1029.1","3.91","8"
"06/04/2017","20:55","05.5","290","06.7","09.7","10.4","1029.2","3.93","8"
"06/04/2017","21:05","06.5","296","07.0","09.6","10.4","1029.2","3.93","8"
"06/04/2017","21:10","06.4","287","07.0","09.6","10.5","1029.2","3.95","8"
"06/04/2017","21:20","06.8","290","07.4","09.6","10.5","1029.2","3.96","8"
"06/04/2017","21:25","06.5","288","07.2","09.6","10.5","1029.2","3.96","8"
"06/04/2017","21:35","05.5","280","06.6","09.6","10.5","1029.2","3.96","8"
"06/04/2017","21:40","05.7","285","06.6","09.6","10.5","1029.2","3.97","8"
"06/04/2017","21:50","05.1","285","05.9","09.6","10.5","1029.3","3.97","8"
"06/04/2017","21:55","05.0","288","05.7","09.6","10.5","1029.2","3.96","8"
"06/04/2017","22:05","04.5","294","05.4","09.6","10.5","1029.3","3.96","8"
"06/04/2017","22:15","05.7","286","06.4","09.4","10.5","1029.2","3.97","8"
"06/04/2017","22:20","05.4","283","05.7","09.5","10.5","1029.3","3.97","7"
"06/04/2017","22:25","05.0","282","05.7","09.6","10.5","1029.3","3.95","8"
"06/04/2017","22:35","04.6","279","05.1","09.6","10.5","1029.2","3.92","8"
"06/04/2017","22:40","05.0","276","05.8","09.6","10.5","1029.1","3.93","8"
"06/04/2017","22:50","04.7","276","05.5","09.7","10.5","1029.2","3.88","8"
"06/04/2017","22:55","04.3","243","04.8","09.8","10.5","1029.2","3.85","7"
"06/04/2017","23:05","04.3","248","05.1","09.6","10.4","1029.1","3.81","6"
"06/04/2017","23:10","05.1","253","05.5","09.6","10.4","1029.0","3.76","7"
"06/04/2017","23:20","05.4","242","06.1","09.6","10.4","1029.0","3.72","7"
"06/04/2017","23:25","05.8","251","06.1","09.5","10.4","1028.9","3.64","7"
"06/04/2017","23:35","05.5","256","05.8","09.5","10.4","1028.9","3.59","8"
"06/04/2017","23:45","04.7","256","05.1","09.5","10.4","1028.9","3.48","7"
"06/04/2017","23:50","04.4","272","04.7","09.6","10.4","1028.9","3.42","7"
"06/04/2017","23:55","04.3","284","04.7","09.7","10.4","1028.8","3.31","7"
