"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"29/03/2017","00:35","17.8","214","22.8","11.0","09.3","1020.9","4.63","14"
"29/03/2017","01:40","18.3","223","20.3","11.0","09.3","1021.0","4.51","2.7"
"29/03/2017","02:40","19.8","226","23.6","10.8","09.3","1021.2","4.48","11"
"29/03/2017","03:40","20.4","230","22.2","10.9","09.3","1021.1","3.81","12"
"29/03/2017","04:40","19.2","235","22.8","10.8","09.4","1020.9","2.12","7"
"29/03/2017","05:40","20.6","234","23.0","10.7","09.7","1020.9",".89","2.2"
"29/03/2017","06:10","16.8","234","18.8","10.5","09.3","1021.3",".71","3.3"
"29/03/2017","06:15","17.0","231","19.2","10.5","09.3","1021.3",".73","5"
"29/03/2017","06:25","16.6","234","17.8","10.5","09.3","1021.4",".75","3.9"
"29/03/2017","06:35","19.4","234","21.5","10.6","09.4","1021.5",".82","2.9"
"29/03/2017","06:45","17.2","238","18.9","10.5","09.4","1021.6",".92","3.8"
"29/03/2017","06:50","21.1","239","22.9","10.6","09.4","1021.6",".99","3.6"
"29/03/2017","07:00","18.9","238","20.8","10.6","09.4","1021.7","1.11","8"
"29/03/2017","07:10","17.5","235","19.0","10.7","09.4","1021.7","1.24","7"
"29/03/2017","07:15","19.4","229","21.6","10.8","09.5","1021.8","1.31","11"
"29/03/2017","07:20","21.1","227","23.1","11.0","09.6","1021.8","1.43","11"
"29/03/2017","07:25","18.4","229","19.9","11.0","09.6","1021.8","1.49","11"
"29/03/2017","07:30","21.7","230","24.6","11.0","09.4","1021.9","1.57","11"
"29/03/2017","07:40","18.7","231","19.7","10.9","09.4","1021.9","1.64","10"
"29/03/2017","07:45","17.3","225","19.4","10.9","09.4","1021.9","1.72","12"
"29/03/2017","07:55","17.8","223","19.6","11.0","09.3","1022.0","1.85","12"
"29/03/2017","08:00","19.7","221","21.3","11.2","09.3","1022.1","1.95","12"
"29/03/2017","08:05","18.6","227","21.8","11.2","09.3","1022.1","2.02","11"
"29/03/2017","08:15","19.3","226","22.5","11.2","09.3","1021.9","2.08","11"
"29/03/2017","08:20","17.5","225","20.4","11.2","09.3","1021.9","2.13","14"
"29/03/2017","08:30","16.5","225","18.2","11.2","09.3","1021.9","2.20","4.4"
"29/03/2017","08:35","17.8","224","20.5","11.3","09.3","1022.2","2.25","8"
"29/03/2017","08:45","18.3","225","22.6","11.2","09.4","1022.2","2.28","14"
"29/03/2017","08:55","16.2","226","18.4","11.5","09.4","1022.3","2.31","16"
"29/03/2017","09:05","16.1","220","18.4","11.7","09.4","1022.3","2.34","18"
