"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"28/03/2017","00:05","08.9","122","09.4","09.9","09.2","1018.6","4.54","2.9"
"28/03/2017","01:05","08.7","116","09.2","09.7","09.2","1018.4","4.47","2.7"
"28/03/2017","02:05","09.7","130","09.9","09.9","09.2","1018.4","4.39","4.1"
"28/03/2017","03:05","11.9","123","12.8","09.7","09.2","1017.9","3.62","2.7"
"28/03/2017","04:05","09.8","111","10.4","09.5","09.2","1017.7","2.04","2"
"28/03/2017","05:05","06.5","105","07.8","09.4","09.5","1017.9",".96","2.6"
"28/03/2017","06:05","06.2","127","07.0","09.1","09.1","1018.0","1.15","3"
"28/03/2017","07:10","08.0","106","08.5","09.2","09.2","1018.1","1.91","1.8"
"28/03/2017","08:10","04.9","224","05.4","09.8","09.2","1018.7","2.38","6"
"28/03/2017","09:00","13.0","239","15.4","10.3","09.2","1018.9","2.55","10"
"28/03/2017","09:05","12.7","241","13.7","10.2","09.2","1018.9","2.59","9"
"28/03/2017","09:10","13.8","240","15.0","10.3","09.2","1019.0","2.64","10"
"28/03/2017","09:35","14.5","257","15.6","10.3","09.2","1019.1","2.84","9"
"28/03/2017","10:35","11.0","250","11.9","10.4","09.2","1019.9","3.80","11"
"28/03/2017","11:35","08.1","271","09.2","10.3","09.2","1020.4","4.59","9"
"28/03/2017","12:35","10.2","255","11.9","10.4","09.3","1020.7","4.52","8"
"28/03/2017","13:35","14.1","237","16.6","11.1","-2.7","1020.6","4.38","10"
"28/03/2017","14:05","13.3","237","14.5","11.3","09.3","1020.6","4.36","10"
"28/03/2017","15:10","14.7","233","15.9","11.5","09.3","1020.7","3.86","12"
"28/03/2017","16:10","14.5","237","15.5","11.6","09.3","1021.0","2.29","13"
"28/03/2017","17:10","12.6","236","14.3","11.9","09.7","1020.7",".95","13"
"28/03/2017","18:10","15.6","237","16.8","11.6","09.4","1020.9",".77","11"
"28/03/2017","18:30","13.1","237","13.9","11.5","09.5","1020.9",".99","11"
"28/03/2017","19:35","10.9","219","12.5","11.6","09.3","1021.0","1.78","13"
"28/03/2017","20:35","06.6","197","08.6","10.9","09.3","1021.1","2.24","12"
"28/03/2017","21:35","10.8","209","11.5","12.3","09.4","1021.1","2.50","18"
"28/03/2017","22:35","14.6","216","16.4","12.5","09.3","1020.9","3.34","19"
"28/03/2017","23:35","20.7","225","23.0","11.9","09.3","1021.0","4.42","19"
