"Date","Time","WSPD","WD","GST","ATMP","BARO","DEPTH"
"30/03/2017","00:00","08.1","215","09.1","13.3","1020.7","4.31"
"30/03/2017","00:05","07.8","212","09.8","13.3","1020.7","4.42"
"30/03/2017","00:10","07.8","208","09.6","13.3","1020.7","4.52"
"30/03/2017","00:15","08.7","211","09.5","13.2","1020.7","4.62"
"30/03/2017","00:20","08.2","209","09.1","13.2","1020.7","4.68"
"30/03/2017","00:25","06.9","206","07.4","13.0","1020.7","4.75"
"30/03/2017","00:30","07.0","201","08.4","13.0","1020.7","4.81"
"30/03/2017","00:35","07.6","184","08.6","13.0","1020.7","4.86"
"30/03/2017","00:40","07.1","177","07.8","13.1","1020.7","4.89"
"30/03/2017","00:45","08.4","184","11.1","13.1","1020.4","4.91"
"30/03/2017","00:50","09.8","188","11.9","13.1","1020.4","4.91"
"30/03/2017","00:55","10.6","200","11.9","13.1","1020.3","4.91"
"30/03/2017","04:35","08.7","241","12.2","13.0","1019.5","3.84"
"30/03/2017","04:40","12.5","245","14.2","12.8","1019.5","3.71"
"30/03/2017","04:45","08.8","247","09.5","12.9","1019.5","3.55"
"30/03/2017","04:50","09.3","236","10.4","12.8","1019.5","3.39"
"30/03/2017","04:55","10.5","249","13.4","12.8","1019.5","3.22"
"30/03/2017","05:00","09.7","238","11.1","12.8","1019.5","3.08"
"30/03/2017","05:05","09.5","237","10.8","12.8","1019.5","2.90"
"30/03/2017","05:10","11.9","231","13.4","12.8","1019.5","2.72"
"30/03/2017","05:15","08.4","221","09.3","12.7","1019.5","2.53"
"30/03/2017","05:20","12.0","228","13.0","12.7","1019.5","2.35"
"30/03/2017","05:25","08.0","227","09.5","12.5","1019.5","2.16"
"30/03/2017","05:30","08.5","233","09.4","12.4","1019.5","1.99"
"30/03/2017","05:35","10.3","228","11.3","12.4","1019.5","1.81"
"30/03/2017","05:40","08.1","226","09.7","12.4","1019.5","1.67"
"30/03/2017","05:45","08.2","225","09.1","12.4","1019.5","1.51"
"30/03/2017","05:50","07.8","218","08.3","12.3","1019.3","1.36"
"30/03/2017","05:55","07.4","224","09.2","12.3","1019.2","1.23"
"30/03/2017","06:00","07.0","200","08.2","12.3","1019.2","1.09"
"30/03/2017","06:05","07.6","194","09.9","12.3","1019.2",".97"
"30/03/2017","06:10","09.0","202","10.1","12.3","1019.1",".87"
"30/03/2017","06:15","09.0","198","10.2","12.1","1019.1",".77"
"30/03/2017","06:20","10.6","201","11.6","11.9","1019.1",".68"
"30/03/2017","06:25","10.5","202","12.5","11.9","1019.1",".60"
"30/03/2017","06:30","10.8","205","12.2","11.9","1019.1",".56"
"30/03/2017","06:35","11.4","209","12.4","11.9","1019.1",".51"
"30/03/2017","06:40","11.5","208","12.7","11.9","1019.1",".48"
"30/03/2017","06:45","11.8","209","13.6","12.0","1019.1",".44"
"30/03/2017","06:50","10.8","213","11.9","12.1","1019.1",".42"
"30/03/2017","06:55","10.3","214","11.3","12.1","1019.1",".42"
"30/03/2017","07:00","11.3","211","00.0","12.1","1019.1",".43"
"30/03/2017","07:05","11.3","211","00.0","12.1","1019.1",".44"
"30/03/2017","07:10","11.3","211","00.0","12.1","1019.1",".48"
"30/03/2017","07:15","11.3","211","00.0","12.1","1019.1",".53"
"30/03/2017","07:20","11.3","211","00.0","12.1","1019.1",".58"
"30/03/2017","07:25","11.3","211","00.0","12.1","1019.1",".68"
"30/03/2017","07:30","11.3","211","00.0","12.1","1019.1",".76"
"30/03/2017","07:35","11.3","211","00.0","12.1","1019.1",".85"
"30/03/2017","07:40","11.3","211","00.0","12.1","1019.1",".96"
"30/03/2017","07:45","11.3","211","00.0","12.1","1019.1","1.08"
"30/03/2017","07:50","11.3","211","00.0","12.1","1019.1","1.19"
"30/03/2017","07:55","11.3","211","00.0","12.1","1019.1","1.30"
"30/03/2017","08:00","11.3","211","00.0","12.1","1019.1","1.35"
"30/03/2017","08:05","11.3","211","00.0","12.1","1019.1","1.47"
"30/03/2017","08:10","11.3","211","00.0","12.1","1019.1","1.61"
