"Date","Time","WSPD","WD","GST","ATMP","BARO","DEPTH"
"07/04/2017","00:00","03.4","302","04.1","08.8","1027.8","3.45"
"07/04/2017","00:05","04.5","307","05.0","08.8","1027.7","3.43"
"07/04/2017","00:10","04.2","303","04.5","08.6","1027.7","3.34"
"07/04/2017","00:15","04.0","315","04.2","08.5","1027.6","3.25"
"07/04/2017","00:20","03.8","311","04.1","08.6","1027.5","3.20"
"07/04/2017","00:25","02.7","312","02.8","08.5","1027.5","3.09"
"07/04/2017","00:30","04.3","318","04.4","08.9","1027.5","2.99"
"07/04/2017","00:35","03.6","308","04.1","08.7","1027.5","2.94"
"07/04/2017","00:40","03.9","322","04.3","08.6","1027.4","2.84"
"07/04/2017","00:45","03.9","325","04.1","08.9","1027.4","2.73"
"07/04/2017","00:50","04.0","313","04.7","08.8","1027.3","2.68"
"07/04/2017","00:55","03.5","322","03.8","08.5","1027.4","2.56"
"07/04/2017","01:00","03.7","331","04.0","08.3","1027.4","2.47"
"07/04/2017","03:45","03.2","340","03.5","07.1","1026.6","2.07"
"07/04/2017","03:50","04.2","340","04.7","06.9","1026.6","2.09"
"07/04/2017","03:55","04.7","351","05.9","07.1","1026.6","2.11"
"07/04/2017","04:00","04.9","338","05.7","07.1","1026.6","2.15"
"07/04/2017","04:05","04.8","007","05.3","07.1","1026.6","2.16"
"07/04/2017","04:10","04.0","013","04.6","07.1","1026.6","2.18"
"07/04/2017","04:15","05.0","009","05.5","07.0","1026.6","2.20"
"07/04/2017","04:20","05.3","009","06.1","07.0","1026.6","2.21"
"07/04/2017","04:25","04.1","011","06.1","06.9","1026.6","2.22"
"07/04/2017","04:30","04.4","004","05.8","06.9","1026.6","2.23"
"07/04/2017","04:35","04.7","358","06.2","06.9","1026.6","2.24"
"07/04/2017","04:40","05.0","007","06.1","06.8","1026.3","2.25"
"07/04/2017","04:45","06.1","008","06.9","06.8","1026.3","2.27"
"07/04/2017","04:50","04.0","008","04.4","06.8","1026.3","2.28"
"07/04/2017","04:55","04.9","012","05.9","06.7","1026.4","2.29"
"07/04/2017","05:00","06.2","011","06.8","06.7","1026.4","2.31"
"07/04/2017","05:05","05.3","015","06.7","06.8","1026.4","2.31"
"07/04/2017","05:10","04.9","021","05.9","06.8","1026.4","2.33"
"07/04/2017","05:15","05.6","022","06.4","06.8","1026.4","2.34"
"07/04/2017","05:20","05.6","014","06.9","06.8","1026.1","2.36"
"07/04/2017","05:25","03.4","007","04.1","06.7","1026.1","2.38"
"07/04/2017","05:30","03.3","353","03.8","06.8","1026.1","2.39"
"07/04/2017","05:35","03.8","343","05.8","06.8","1026.1","2.41"
"07/04/2017","05:40","04.5","344","05.0","06.6","1026.1","2.41"
"07/04/2017","05:45","04.7","001","05.8","06.6","1026.1","2.44"
"07/04/2017","05:50","04.0","012","04.8","06.6","1026.1","2.45"
"07/04/2017","05:55","04.1","001","05.2","06.6","1026.1","2.46"
"07/04/2017","06:00","03.5","018","04.0","06.6","1026.2","2.47"
"07/04/2017","06:05","03.8","033","05.1","06.6","1026.2","2.49"
"07/04/2017","06:10","04.2","009","05.3","06.5","1026.2","2.50"
"07/04/2017","06:15","04.0","012","05.0","06.6","1026.2","2.53"
"07/04/2017","06:20","03.0","021","03.5","06.6","1026.2","2.53"
"07/04/2017","06:25","03.3","009","04.1","06.5","1026.2","2.57"
"07/04/2017","06:30","02.3","007","03.0","06.6","1026.3","2.61"
"07/04/2017","06:35","02.0","006","02.5","06.6","1026.3","2.63"
"07/04/2017","06:40","02.4","007","02.9","06.6","1026.3","2.67"
"07/04/2017","06:45","02.5","342","03.3","06.5","1026.3","2.72"
"07/04/2017","06:50","02.9","338","03.7","06.4","1026.3","2.75"
"07/04/2017","06:55","04.0","326","04.4","06.2","1026.4","2.81"
"07/04/2017","07:00","03.5","342","03.7","06.1","1026.4","2.88"
"07/04/2017","07:05","04.1","343","05.0","06.2","1026.5","2.91"
"07/04/2017","07:10","03.3","354","03.9","06.2","1026.5","2.95"
"07/04/2017","07:15","02.9","345","03.4","06.4","1026.5","3.03"
"07/04/2017","07:20","02.9","343","03.1","06.4","1026.5","3.07"
"07/04/2017","07:25","00.9","003","02.5","06.4","1026.6","3.14"
"07/04/2017","07:30","01.8","347","02.1","06.4","1026.7","3.23"
"07/04/2017","07:35","02.4","003","02.7","06.4","1026.7","3.27"
"07/04/2017","07:40","02.4","024","03.4","06.4","1026.7","3.35"
"07/04/2017","07:45","02.3","012","03.2","07.5","1026.7","3.44"
"07/04/2017","07:50","04.3","014","06.7","07.3","1026.7","3.48"
"07/04/2017","07:55","04.3","016","04.9","07.4","1026.8","3.56"
"07/04/2017","08:00","04.0","013","04.4","07.4","1026.8","3.64"
"07/04/2017","08:05","03.9","011","04.8","07.4","1026.8","3.66"
"07/04/2017","08:10","03.5","015","04.5","07.4","1026.8","3.74"
"07/04/2017","08:15","04.2","019","05.2","07.9","1026.9","3.80"
"07/04/2017","08:20","03.7","018","04.6","08.2","1026.9","3.83"
"07/04/2017","08:25","03.6","015","04.0","08.5","1026.9","3.89"
"07/04/2017","08:30","04.8","018","05.1","08.7","1026.9","3.94"
"07/04/2017","08:35","04.3","020","04.6","08.7","1026.9","3.96"
"07/04/2017","08:40","03.7","032","04.3","08.5","1027.0","4.01"
"07/04/2017","08:45","03.5","050","03.6","08.3","1026.9","4.04"
"07/04/2017","08:50","03.5","029","03.6","08.8","1027.0","4.05"
"07/04/2017","08:55","03.2","033","03.5","08.8","1027.0","4.08"
"07/04/2017","09:00","03.4","023","03.6","09.1","1027.0","4.12"
"07/04/2017","09:05","03.0","027","03.3","09.1","1027.0","4.13"
"07/04/2017","09:10","02.6","026","03.0","09.2","1027.0","4.14"
"07/04/2017","09:15","02.5","017","02.7","09.2","1027.0","4.13"
"07/04/2017","09:20","02.4","019","03.0","09.3","1026.9","4.14"
"07/04/2017","09:25","02.0","020","03.1","09.4","1026.9","4.06"
"07/04/2017","09:30","01.7","036","02.2","09.4","1026.9","4.12"
"07/04/2017","09:35","01.7","036","02.3","10.2","1027.0","4.11"
"07/04/2017","09:40","01.4","024","01.9","10.4","1027.0","4.11"
"07/04/2017","09:45","01.5","339","02.5","10.4","1027.0","4.08"
"07/04/2017","09:50","00.8","187","02.2","10.4","1027.0","4.08"
"07/04/2017","09:55","00.8","135","01.8","10.4","1027.0","4.07"
"07/04/2017","10:00","01.2","106","01.7","10.4","1027.0","4.05"
"07/04/2017","10:05","01.3","120","02.2","11.7","1027.0","4.07"
"07/04/2017","10:10","02.6","148","02.8","11.5","1026.8","4.07"
"07/04/2017","10:15","02.6","167","03.2","10.8","1026.8","4.07"
"07/04/2017","10:20","03.8","171","03.9","10.5","1026.8","4.05"
"07/04/2017","10:25","03.6","174","03.7","10.5","1026.7","4.05"
"07/04/2017","10:30","04.2","173","04.6","10.6","1026.7","4.05"
"07/04/2017","10:35","04.4","171","04.6","10.6","1026.7","4.05"
"07/04/2017","10:40","04.4","169","04.6","10.7","1026.7","4.07"
"07/04/2017","10:45","04.0","172","04.2","11.0","1026.7","4.07"
"07/04/2017","10:50","04.1","165","04.4","10.8","1026.7","4.07"
"07/04/2017","10:55","03.9","162","04.1","11.0","1026.8","4.05"
"07/04/2017","11:00","03.6","154","03.7","10.9","1026.8","4.04"
"07/04/2017","11:05","02.7","151","02.9","11.0","1026.8","4.04"
"07/04/2017","11:10","03.8","155","04.0","11.4","1026.8","4.03"
"07/04/2017","11:15","03.4","146","04.0","11.2","1026.8","4.01"
"07/04/2017","11:20","04.1","141","04.3","11.5","1026.8","4.00"
"07/04/2017","11:25","03.8","139","04.6","11.4","1026.8","3.98"
"07/04/2017","11:30","04.6","129","05.1","11.6","1026.8","3.95"
"07/04/2017","11:35","04.1","127","04.9","11.6","1026.8","3.93"
"07/04/2017","11:40","05.9","124","06.5","12.2","1026.8","3.90"
"07/04/2017","11:45","06.2","123","06.8","12.0","1026.8","3.86"
"07/04/2017","11:50","06.1","123","06.9","11.9","1026.6","3.84"
"07/04/2017","11:55","06.8","121","06.9","12.0","1026.5","3.80"
"07/04/2017","12:00","06.8","126","07.4","12.1","1026.5","3.76"
"07/04/2017","12:05","06.6","122","06.9","12.2","1026.5","3.73"
"07/04/2017","12:10","07.2","124","07.9","12.3","1026.4","3.68"
"07/04/2017","12:15","06.3","116","06.6","12.6","1026.4","3.62"
"07/04/2017","12:20","06.3","115","07.2","12.6","1026.4","3.58"
"07/04/2017","12:25","04.3","103","06.2","12.6","1026.3","3.51"
"07/04/2017","12:30","05.4","116","05.9","12.8","1026.3","3.42"
"07/04/2017","12:35","03.1","102","04.7","12.8","1026.3","3.38"
"07/04/2017","12:40","04.8","107","05.3","13.1","1026.3","3.29"
"07/04/2017","12:45","04.5","107","04.9","13.3","1025.9","3.19"
"07/04/2017","12:50","04.1","114","04.5","13.3","1025.9","3.13"
"07/04/2017","12:55","04.8","096","05.6","13.6","1025.9","3.02"
"07/04/2017","13:00","02.1","104","04.0","13.5","1025.9","2.92"
"07/04/2017","13:05","03.4","104","04.6","14.3","1025.9","2.86"
"07/04/2017","13:10","05.5","118","06.7","13.8","1025.9","2.76"
"07/04/2017","13:15","05.2","113","06.1","13.6","1025.9","2.64"
"07/04/2017","13:20","06.4","127","06.9","13.6","1025.9","2.56"
"07/04/2017","13:25","07.7","127","08.4","13.3","1025.6","2.45"
"07/04/2017","13:30","07.4","129","08.2","13.5","1025.6","2.33"
"07/04/2017","13:35","09.1","136","09.8","13.5","1025.5","2.27"
"07/04/2017","13:40","10.0","131","10.3","13.6","1025.4","2.15"
"07/04/2017","13:45","09.3","127","09.4","13.4","1025.4","2.08"
"07/04/2017","13:50","09.2","129","09.4","13.3","1025.3","2.03"
"07/04/2017","13:55","10.3","120","10.9","13.3","1025.3","1.92"
"07/04/2017","14:00","11.6","131","11.9","13.3","1025.3","1.81"
"07/04/2017","14:05","11.0","120","11.5","13.3","1025.2","1.77"
"07/04/2017","14:10","11.3","134","11.4","13.3","1025.0","1.69"
"07/04/2017","14:15","10.6","132","10.9","13.1","1025.1","1.61"
"07/04/2017","14:20","11.4","130","11.7","13.4","1025.1","1.58"
"07/04/2017","14:25","10.8","143","11.7","13.1","1025.1","1.52"
"07/04/2017","14:30","11.6","144","11.9","12.9","1025.0","1.46"
"07/04/2017","14:35","11.3","139","12.4","13.1","1025.0","1.45"
"07/04/2017","14:40","11.1","148","11.6","13.0","1025.0","1.41"
"07/04/2017","14:45","10.3","142","11.0","13.4","1024.8","1.39"
"07/04/2017","14:50","09.4","149","10.7","13.3","1024.8","1.38"
"07/04/2017","14:55","12.0","139","13.4","13.7","1024.7","1.38"
"07/04/2017","15:00","09.9","137","11.5","14.1","1024.7","1.37"
"07/04/2017","15:05","10.7","142","11.2","14.1","1024.7","1.37"
"07/04/2017","15:10","09.1","144","09.8","14.7","1024.7","1.38"
"07/04/2017","15:20","07.3","135","08.2","14.6","1024.7","1.41"
"07/04/2017","15:25","07.1","136","07.8","15.0","1024.5","1.44"
"07/04/2017","15:30","04.6","153","07.3","14.9","1024.5","1.49"
"07/04/2017","15:35","03.7","181","05.7","14.9","1024.5","1.52"
"07/04/2017","15:40","02.3","153","04.0","14.9","1024.5","1.58"
"07/04/2017","15:45","03.4","211","04.7","14.9","1024.3","1.64"
"07/04/2017","15:50","05.6","217","06.2","14.9","1024.3","1.67"
"07/04/2017","15:55","10.1","199","11.4","15.8","1024.3","1.74"
"07/04/2017","16:00","11.6","219","13.2","15.6","1024.3","1.81"
"07/04/2017","16:05","10.6","217","12.2","15.3","1024.1","1.84"
"07/04/2017","16:10","12.8","208","13.4","15.4","1024.1","1.90"
"07/04/2017","16:15","12.5","212","13.9","15.5","1024.0","1.96"
"07/04/2017","16:20","11.7","214","12.9","15.4","1024.0","1.98"
